Start Time,End Time,First Name,Last Name,Phone,Email,Type,Calendar,Appointment Price,Paid?,Amount Paid Online,Certificate Code,Notes,Date Scheduled,Label,Scheduled By,Date Rescheduled,Appointment ID
"February 1, 2025 10:00","February 1, 2025 11:30",Michael,Carson,001-279-523-4550,nnewman@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,24/01/2025,,a client,,1405791444
"February 1, 2025 10:00","February 1, 2025 11:30",Michael,Carson,001-279-523-4550,nnewman@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,24/01/2025,,a client,,1405791446
"February 1, 2025 10:00","February 1, 2025 11:30",Maria,Myers,+1-337-776-4248x711,charlestaylor@saunders.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,27/01/2025,,a client,,1406914023
"February 1, 2025 10:00","February 1, 2025 11:30",Lisa,Garcia,998-135-5951x351,barroncaitlin@dyer-ross.org,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,27/01/2025,,a client,,1407324565
"February 1, 2025 10:00","February 1, 2025 11:30",Stacy,Briggs,+1-439-574-2888x1616,sarahgarza@smith.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,30/01/2025,,a client,,1409121009
"February 1, 2025 12:00","February 1, 2025 13:30",Jerry,Garza,012-521-4881x6348,ymorales@hotmail.com,Private ski lesson + 1 set of equipment,Private Ski Class Sognsvann,1826.65,yes,1826.65,LUKASISBEST15,,20/12/2024,,a client,,1386519498
"February 1, 2025 12:00","February 1, 2025 13:30",John,Gray,683.425.2293x0983,christopherstrong@martinez.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,17/01/2025,,a client,,1401622687
"February 1, 2025 12:00","February 1, 2025 13:30",John,Gray,683.425.2293x0983,christopherstrong@martinez.com,Beginner Group Ski Class - Classic,Classic Group Ski Class Sognsvann,950.00,yes,950.00,,,17/01/2025,,a client,,1401622688
"February 1, 2025 12:00","February 1, 2025 13:30",Anne,Long,7812495609,tgonzalez@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,23/01/2025,,a client,,1405086909
"February 1, 2025 12:00","February 1, 2025 13:30",John,Osborn,864.890.0371x3408,richard07@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,24/01/2025,,a client,,1405499846
"February 1, 2025 12:00","February 1, 2025 13:30",Sydney,Brown,636-787-9949x6840,petermorris@yahoo.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,26/01/2025,,a client,,1406486894
"February 1, 2025 12:00","February 1, 2025 13:30",Adam,Taylor,796-787-5640x62765,rjohnson@hotmail.com,Beginner Group Ski Class - Classic + Skiing equipment,Classic Group Ski Class Sognsvann,1349.00,yes,1349.00,,,27/01/2025,,a client,,1407286023
"February 1, 2025 14:00","February 1, 2025 15:30",Leslie,Kelly,+1-291-630-3023x13721,rhodesmark@decker-reynolds.biz,Private ski lesson,Private Ski Class Sognsvann,1750.00,yes,1750.00,,,22/01/2025,,a client,,1404089661
"February 1, 2025 14:00","February 1, 2025 15:30",Erin,Patterson,+1-891-210-3766x496,fostertimothy@gmail.com,Private ski lesson + 1 set of equipment,Private Ski Class Sognsvann,1934.10,yes,1934.10,ITSMEAGAIN,,23/01/2025,,oslo.goski@gmail.com,,1404817630
"February 2, 2025 10:00","February 2, 2025 11:30",Samantha,Smith,001-413-254-9573,macdonalddavid@lambert.com,Beginner Group Ski Class - Skating,Skating Group Ski Class Sognsvann,950.00,yes,950.00,,,23/12/2024,,a client,15/01/2025,1387765401
